Station,Latitude,Longitude
Angle Lake,47.42331004,-122.29650838342734
SeaTac/Airport,47.44527448,-122.29670583699435
Tukwila Int'l Blvd,47.46363009,-122.28794315493607
Rainier Beach,47.52284785,-122.279208650031
Othello,47.53799597,-122.28152474696398
Columbia City,47.55990726,-122.2928113597944
Mount Baker,47.57647065,-122.2976980516063
Beacon Hill,47.57923461,-122.31197583246464
SoDo,47.58120344,-122.3273830018806
Stadium,47.5912592,-122.32725012388461
Int'l District,47.59823078,-122.32791451404232
Pioneer Square,47.60278743,-122.3301017249555
University St,47.60784669,-122.33569771662485
Westlake,47.61202664,-122.33658798806677
Capitol Hill,47.61978546,-122.32030873936509
Univ. of Washington,47.6500278,-122.30328181800014
