,Neighborhood,Average_Rent,Longitude,Latitude
0,Broadway,"$1,495 ",47.62531398,-122.32473896344713
1,Belltown,"$1,935 ",47.61464616,-122.34479637940683
2,University District,"$1,253 ",47.66306469,-122.31409698717788
3,Lower Queen Anne,"$1,669 ",47.62480296,-122.35676489143965
4,First Hill,"$1,581 ",47.60979205,-122.32355376028661
5,South-Lake Union,"$1,845 ",47.62587442,-122.33414387121262
6,Fremont,"$1,600 ",47.65445657,-122.35079619949607
7,Lake City,"$1,295 ",47.71901875,-122.29611205864457
8,Minor,"$1,513 ",47.60360191,-122.31092274850812
9,Wallingford,"$1,622 ",47.66145295,-122.33825207226305
10,Stevens,"$1,495 ",47.62569506,-122.30350987436847
11,Adams,"$1,495 ",47.67019699,-122.38846463878933
12,Junction,"$1,480 ",47.56671191,-122.38644357270299
13,Central Business District,"$2,145 ",47.60845094,-122.33528605699965
14,Roosevelt,"$1,648 ",47.67818394,-122.31764077110046
15,North Queen Anne,"$1,395 ",47.64682065,-122.36190020129379
16,Greenwood,"$1,337 ",47.69131417,-122.35662446288059
17,Green Lake,"$1,445 ",47.68021259,-122.32577971067482
18,Eastlake,"$1,450 ",47.64174531,-122.32698212116547
19,Atlantic,"$1,525 ",47.59731631,-122.30984370901804
20,Pike Place Market,"$2,100 ",47.61000799,-122.34227889962995
21,Columbia City,"$1,833 ",47.56082068,-122.2880738661744
22,Westlake,"$1,823 ",47.63207019,-122.34098716528099
23,North Admiral,"$1,525 ",47.58159893,-122.38621549328343
24,Maple Leaf,"$1,395 ",47.6960539,-122.31699876286797
25,West Woodland,"$1,497 ",47.66878822,-122.36600164836669
26,East Queen Anne,"$1,450 ",47.63677018,-122.34967786826053
27,Alki,"$1,495 ",47.57592225,-122.40959659020146
28,North College Park,"$1,295 ",47.69775247,-122.3373706935688
29,North Beacon Hill,"$1,325 ",47.58019793,-122.31342810244632
30,Fairmount Park,"$1,213 ",47.55382974,-122.38019724064831
31,Mann,"$1,095 ",47.60928716,-122.2998728755265
32,Lawton Park,"$1,300 ",47.65480109,-122.39536826922449
33,Mt. Baker,"$1,470 ",47.57881832,-122.29292202971762
34,Ravenna,"$1,495 ",47.67595708,-122.30162687223482
35,International District,"$1,395 ",47.59706054,-122.32814274886283
36,Mid-Beacon Hill,"$1,485 ",47.55304383,-122.30147599077378
37,West Queen Anne,"$1,550 ",47.63263896,-122.3688852503369
38,Phinney Ridge,"$1,513 ",47.67617341,-122.35223416754913
39,North Delridge,"$1,500 ",47.56231747,-122.36566461876009
40,Loyal Heights,"$1,395 ",47.68227719,-122.38321546652253
41,Genesee,"$1,448 ",47.56334124,-122.39342734446407
42,Bitter Lake,"$1,275 ",47.71961692,-122.34941704259383
43,Brighton,"$2,131 ",47.536139,-122.27395299369708
44,Crown Hill,"$1,413 ",47.69594949,-122.36940713098994
45,Haller Lake,"$1,298 ",47.72335115,-122.33373127262739
46,Pinehurst,"$1,250 ",47.71971781,-122.3183461675781
47,Pioneer Square,"$1,309 ",47.60151922,-122.33184381442223
48,Madrona,"$1,450 ",47.61405006,-122.29062480873142
49,Riverview,"$1,295 ",47.54484218,-122.35405518189653
50,Wedgwood,"$1,295 ",47.69084238,-122.29270695380424
51,Montlake,"$1,760 ",47.64182321,-122.30284049239638
52,Leschi,"$1,350 ",47.60030017,-122.29356962353225
53,Bryant,"$1,473 ",47.67063159,-122.28754514042797
54,High Point,"$1,905 ",47.550439,-122.37005418272255
55,South Delridge,"$1,200 ",47.52688913,-122.36057409746344
56,Seward Park,"$1,325 ",47.55042676,-122.2655023558468
57,Georgetown,"$1,425 ",47.54801487,-122.32257454588132
58,SoDo,"$2,295 ",47.58300463,-122.33467979227193
59,Southeast Magnolia,"$1,695 ",47.64233449,-122.39401436489085
60,Gatewood,"$1,295 ",47.53997391,-122.38438880638887
61,North Beach - Blue Ridge,"$1,560 ",47.6981585,-122.38626361563026
62,Interbay,"$1,505 ",47.64083398,-122.38132050343764
63,Highland Park,"$1,200 ",47.52462826,-122.34612489261194
64,Seaview,"$1,545 ",47.55236936,-122.39407300239642
65,Dunlap,"$1,210 ",47.52636355,-122.27277121147858
66,Broadview,"$1,295 ",47.72079488,-122.3688773785882
67,Roxhill,"$1,410 ",47.5266812,-122.37136132593022
68,Fauntleroy,"$1,298 ",47.52435606,-122.3839313550989
69,Whittier Heights,"$1,495 ",47.68308729,-122.36970249020477
70,Sunset Hill,"$1,780 ",47.68149546,-122.39873044475834
71,Laurelhurst,"$1,423 ",47.66095242,-122.28523088591659
72,Madison Park,"$1,475 ",47.63505301,-122.28205161556701
73,Portage Bay,"$1,575 ",47.64692938,-122.3200041211819
74,View Ridge,"$1,595 ",47.68475174,-122.2747732175022
